timestamp,temperature,humidity,light_received
4388,21.9,42,0
4410,21.1,43,2864
4886,21.2,43,0
4898,21.3,43,0
4923,23.0,50,0
4926,21.1,43,4095
4928,21.8,42,0
5841,21.4,49,0
10591,23.0,49,1023
10592,22.2,49,1023
16091,21.1,43,0
16131,21.8,42,0
16198,21.0,43,4095
16611,21.0,43,2602
18753,23.0,50,0
19011,21.4,48,0
22598,22.2,49,1023
22600,23.0,49,1023
27273,21.1,43,0
27324,21.8,42,0
27441,21.0,43,4095
27831,21.0,43,2607
31589,23.0,50,0
32052,21.4,48,0
34613,22.2,49,1023
35587,23.0,49,1023
35723,28.0,42,0
38468,21.1,43,0
38538,21.5,42,0
38695,21.0,43,4095
39068,21.0,43,2365
44915,23.0,50,0
44931,21.4,48,0
46626,22.2,49,1023
47632,23.0,49,1023
49774,21.5,42,295
49917,21.0,43,4095
50614,21.1,43,0
50774,21.0,43,2533
57025,28.0,43,0
57768,23.0,50,0
57996,21.4,49,0
58635,22.2,49,1023
59647,23.0,49,1023
61189,21.0,43,4095
61807,21.1,43,0
61868,21.4,42,289
61967,21.0,43,2559
70634,22.2,49,1023
70687,23.0,50,0
71221,21.4,49,0
71649,23.0,49,1023
72416,21.0,43,4095
73020,21.0,43,0
73143,21.0,43,2393
73220,21.4,42,240
77812,28.0,42,0
82648,22.2,49,1023
83640,21.0,43,4095
83703,23.0,49,1023
84014,23.0,50,0
84041,21.4,49,0
84194,21.0,43,0
84339,21.0,43,2459
84426,21.4,42,4095
94665,22.2,49,1023
94872,21.0,43,4095
95398,21.0,43,0
95512,21.0,43,2496
95628,21.4,42,4095
95752,23.0,49,1023
96819,21.4,48,0
97628,23.4,50,0
98477,28.0,42,0
106496,21.0,43,4095
106573,21.0,43,0
106698,22.2,49,1023
106714,21.0,43,2447
106833,21.4,42,4095
107772,22.9,49,1023
109868,21.4,49,0
110543,23.4,50,0
117721,21.0,43,4095
117769,21.0,43,0
117887,21.0,43,2460
118088,21.4,42,0
118721,22.2,49,1023
119712,28.0,43,0
119800,22.8,49,1023
122734,21.4,49,0
123407,23.4,50,0
129002,21.0,43,0
129077,21.0,43,2541
129263,21.4,42,0
129934,21.0,43,4095
130727,22.2,49,1023
131836,22.7,49,1023
135795,21.6,49,0
136352,23.4,50,0
140212,21.0,43,0
140330,21.1,43,2513
140486,21.4,42,0
140658,27.6,43,0
141330,21.0,43,4095
142782,22.2,49,1023
143954,22.7,49,1023
148513,21.6,48,0
149725,23.4,49,0
151438,21.0,43,0
152065,21.0,43,2623
152077,21.4,42,0
152567,21.0,43,4095
154792,22.2,49,1023
155998,22.7,49,1023
161584,21.4,48,0
161754,27.6,44,0
162541,23.4,50,0
162598,21.0,43,0
163265,21.4,42,0
163286,21.0,43,2509
163787,21.0,43,4095
166790,22.2,49,1023
168042,22.7,49,1023
173780,21.0,43,0
174423,21.4,48,0
174467,21.4,42,4095
174468,21.0,43,2468
175046,21.0,43,4095
175666,23.4,50,0
178800,22.2,49,1023
180053,22.7,49,1023
182861,27.6,44,0
184983,21.0,43,0
185644,21.4,42,4095
185700,21.0,43,2558
186287,21.0,43,4095
187397,21.4,48,0
188683,23.4,50,0
190803,22.2,49,1023
192148,22.7,49,1023
196223,21.0,43,0
196812,21.4,42,4095
197143,21.0,43,2555
197536,21.0,43,4095
200077,21.4,48,0
201480,23.4,50,0
202832,22.2,49,1023
203295,27.5,44,0
204174,22.8,49,1023
208068,21.4,42,4095
208337,21.0,43,2527
208782,21.0,43,4095
209139,21.0,43,0
213109,21.4,48,0
214240,23.4,50,0
214833,22.0,49,1023
216188,22.8,49,1023
219277,21.4,43,4095
219640,21.0,43,2599
220048,21.0,43,4095
220349,21.0,43,0
224189,27.1,44,0
226157,21.4,48,0
226846,21.8,49,1023
227469,23.4,49,0
228220,22.8,49,1023
230872,21.0,43,2485
231305,21.0,43,4095
231528,21.4,43,4095
231548,21.0,43,0
238865,21.8,49,1023
238935,21.4,48,0
240258,22.7,49,1023
240499,23.4,49,0
242133,21.0,43,4095
242536,21.0,43,4095
242738,21.4,43,4095
242989,21.0,43,0
246683,27.1,44,0
250885,21.8,49,1023
251863,21.4,48,0
252300,22.6,49,1023
253340,21.0,43,4095
253779,21.0,43,4095
253955,21.4,43,4095
254183,21.1,43,0
254377,23.4,49,0
262892,21.8,49,1023
264331,22.6,49,1023
264910,21.4,48,0
265003,21.0,43,4095
265141,21.4,43,4095
265448,21.1,43,0
266906,23.4,50,0
267820,27.1,44,0
269115,21.0,43,4095
274915,21.8,49,1023
276240,21.0,43,4095
276344,22.6,49,1023
276355,21.4,43,4095
276636,21.0,43,0
277667,21.4,48,0
279788,23.4,50,0
280318,21.0,43,4095
286942,21.8,49,1023
287438,21.0,43,4095
287565,21.4,43,4095
287812,21.0,43,0
288371,22.6,49,1023
288591,26.7,44,0
290459,21.4,48,0
291524,21.0,43,4095
293699,23.4,50,0
298655,21.0,43,4095
298750,21.4,43,4095
298937,21.8,49,1023
299006,21.0,43,0
300417,22.6,49,1023
302705,21.0,43,4095
303283,21.4,48,0
308482,23.4,49,0
309334,26.2,44,0
310079,21.0,43,4095
310219,21.0,43,0
310940,21.8,49,1023
312430,22.6,49,1023
314032,21.0,43,4095
315956,21.0,48,0
321033,23.4,50,0
321362,21.0,43,3662
321406,21.0,43,0
322958,21.8,49,1023
324488,22.6,49,1023
325242,21.0,43,4095
328995,21.0,48,0
330159,25.8,44,0
332595,21.0,43,3289
332628,21.0,43,0
334129,23.4,50,0
334965,21.8,49,1023
336445,21.0,43,4095
336481,22.6,49,1023
342071,21.0,48,0
343833,21.0,43,2718
343836,21.0,43,0
346995,21.8,49,1023
347307,23.4,50,0
347645,21.0,43,4095
348498,22.6,49,1023
351162,24.8,45,0
355057,21.0,43,2602
355114,21.0,43,0
355380,21.0,48,0
358871,21.0,43,4095
358994,21.8,49,1023
360524,22.6,49,1023
361588,23.4,50,0
366279,21.0,43,2594
366315,21.0,43,0
368316,21.0,48,0
370128,21.0,43,4095
370993,21.8,49,1023
372552,22.6,49,1023
373211,24.5,45,0
374316,23.4,51,0
377498,21.0,43,2449
377514,21.0,43,0
381310,21.0,48,0
381360,21.0,43,4095
383009,21.8,49,1023
384818,22.6,49,1023
387504,23.4,50,0
388786,21.0,42,2389
392659,21.0,43,4095
393260,21.0,43,0
394367,21.0,48,0
395029,21.8,49,1023
396815,22.6,49,1023
398303,24.5,46,0
400007,21.0,43,2640
400913,23.4,50,0
403886,21.0,43,4095
404460,21.0,43,0
407047,21.8,49,1023
408006,21.0,49,0
408816,22.6,49,1023
411209,21.0,43,2304
414047,23.4,49,0
415096,21.0,43,4095
415654,21.0,43,0
419051,21.8,49,1023
420844,21.0,49,0
421275,22.6,49,1023
421550,24.1,46,0
422469,21.0,43,2498
426321,21.0,43,4095
426880,21.0,43,0
427815,23.4,49,0
431046,21.8,49,1023
433278,22.6,49,1023
433683,21.0,43,2555
433826,21.0,49,0
437605,21.0,43,4095
438135,21.0,43,0
440801,23.4,49,0
443067,21.8,49,1023
444927,21.0,43,2545
445331,22.6,49,1023
445437,23.8,47,1023
446795,21.0,49,0
448844,21.0,43,4095
449392,21.0,43,0
453687,23.4,49,0
455099,21.8,49,1023
456193,21.0,43,2530
457366,22.6,49,1023
459685,21.0,49,0
460076,21.0,43,4095
460595,21.0,43,0
466365,23.4,47,1023
466787,23.4,49,0
467093,21.8,50,1023
467411,21.0,43,2491
469597,22.6,49,1023
471274,21.0,43,4095
471842,21.0,43,0
473260,21.0,49,0
478673,21.0,43,2545
479096,21.9,50,1023
481630,22.6,49,1023
482487,21.0,43,4095
483089,21.0,43,0
483779,23.4,49,0
486471,21.0,49,0
487033,23.4,47,1023
489890,21.0,43,2643
491130,21.8,50,1023
493647,22.6,49,1023
493694,21.0,43,4095
494276,21.0,43,0
496787,23.4,49,0
499651,21.0,49,0
501089,21.0,43,2510
503143,21.8,50,1023
504910,21.0,43,4095
505478,21.0,43,0
505670,22.6,49,1023
508032,23.0,47,1023
510107,23.4,49,0
512354,21.0,43,2491
512809,21.0,49,0
515166,21.8,49,1023
516740,21.0,43,0
517225,21.0,43,4095
517691,22.6,49,1023
524504,21.0,43,2671
525675,21.4,49,0
526512,23.4,49,0
527197,21.8,49,1023
527968,21.0,43,0
528460,21.1,43,4095
529714,22.6,49,1023
529880,23.0,47,1023
535745,21.0,43,2622
538709,21.4,49,0
539189,21.0,43,0
539205,21.8,50,1023
539665,21.0,43,4095
540897,23.4,49,0
541711,22.6,49,1023
546968,21.0,43,2650
550428,21.0,43,0
550718,23.0,48,1023
550904,21.0,43,4095
551235,21.8,49,1023
551722,21.8,48,0
553713,23.4,49,0
553769,22.6,49,1023
558163,21.0,43,2554
561659,21.0,43,0
562136,21.1,43,4095
563236,21.8,49,1023
565240,22.2,48,0
565777,23.0,49,1023
567071,23.4,49,0
569414,21.0,43,2506
571685,22.6,49,1023
572906,21.0,43,0
573359,21.0,43,4095
575236,21.8,49,1023
578273,22.6,48,0
578556,23.0,49,1023
579815,23.4,49,0
580829,21.0,43,2542
584559,21.0,43,4095
584925,21.0,43,0
587244,21.8,50,1023
590565,23.0,49,1023
590901,22.6,48,0
592061,21.0,43,2482
592590,22.6,49,1023
594256,23.4,49,0
595785,21.0,43,4095
597421,21.0,43,0
599253,21.8,50,1023
602624,23.0,49,1023
603317,21.0,43,2624
604148,23.0,48,0
606975,21.0,43,4095
608285,23.4,49,0
608627,21.1,43,0
611263,21.8,50,1023
613235,22.6,49,1023
614658,23.0,49,1023
614676,21.0,43,2642
616912,23.0,47,0
618365,21.0,43,4095
621280,23.4,49,0
623275,21.8,50,1023
625892,21.0,43,2609
626671,23.0,49,1023
629574,21.0,43,4095
629616,23.4,47,0
634117,22.6,49,1023
634185,23.4,49,0
635258,21.8,50,1023
637109,21.0,43,2421
638693,23.0,49,1023
640800,21.0,43,4095
642800,23.0,48,1023
643669,23.4,47,0
647064,23.4,49,0
647299,21.8,50,1023
648313,21.0,43,2583
650697,23.0,49,1023
652031,21.0,43,4095
654668,22.6,49,1023
654830,22.6,49,1023
656512,23.4,47,0
659334,21.8,50,1023
659552,21.0,43,2689
659993,23.4,49,0
662712,23.0,49,1023
663269,21.0,43,4095
666531,22.6,49,1023
669154,23.6,47,0
671323,21.8,50,1023
673748,23.4,49,0
674448,21.0,43,4095
674724,23.0,49,1023
675477,22.6,49,1023
678381,22.6,49,1023
681388,60.1,27,2478
682189,23.8,46,0
683329,21.8,50,1023
685687,21.0,43,4095
686808,23.0,49,1023
687087,23.4,49,0
690251,22.6,49,1023
692642,21.0,42,2431
695331,21.8,50,1023
695831,23.8,47,0
696885,22.6,49,0
696905,21.0,43,4095
698811,23.0,49,1023
699782,23.4,49,0
702145,22.6,49,1023
704020,21.0,43,2606
707335,21.8,50,1023
708119,21.1,43,4095
708749,23.8,47,0
710810,23.0,49,1023
712651,23.4,49,0
713988,22.6,49,1023
715296,21.0,43,2484
718202,22.6,50,0
719331,21.8,50,1023
719332,21.0,43,4095
721726,23.8,46,0
722813,23.0,49,1023
725869,22.7,49,1023
725877,23.4,49,0
726520,21.0,43,2490
731129,21.0,43,4095
731321,21.8,50,1023
734585,24.0,46,0
734817,23.0,49,1023
737730,21.0,43,2559
737749,23.0,49,1023
738936,22.6,50,0
739081,23.4,49,0
742399,21.0,43,4095
743378,21.8,50,1023
746833,23.0,49,1023
747585,24.1,46,0
748987,21.0,43,2482
749599,23.0,49,1023
753095,23.4,48,0
753637,21.0,43,4095
755394,21.8,50,1023
758843,23.0,49,1023
759716,22.6,50,0
760231,21.0,43,2595
760262,24.1,46,0
761478,23.0,49,1023
764827,21.0,43,4095
766514,23.4,49,0
767426,21.8,49,1023
770984,23.0,49,1023
772434,21.0,43,2401
773311,24.1,46,0
773327,23.0,49,1023
776004,21.0,43,4095
779436,21.8,49,1023
779732,23.4,49,0
780376,22.6,50,0
782984,23.0,49,1023
783664,21.0,43,2509
785214,23.0,49,1023
787182,21.0,43,4095
787393,24.1,46,0
791597,21.9,49,1023
794134,23.4,48,0
794887,21.0,43,2386
795018,23.0,49,1023
797052,23.0,49,1023
798376,21.1,43,4095
800351,24.1,45,0
801391,22.6,50,0
803616,22.0,49,1023
806122,21.0,43,2415
807026,23.0,49,1023
807096,23.4,48,0
808911,23.0,49,1023
809595,21.0,43,4095
813294,24.1,45,0
815610,22.2,49,1023
817340,21.0,43,2486
819032,23.0,49,1023
820065,23.4,48,0
820790,21.0,43,4095
822204,22.6,50,0
826343,24.1,45,0
827602,22.2,50,1023
828605,21.0,43,2531
831035,23.0,49,1023
832000,21.0,43,4095
833171,23.4,48,0
839259,24.1,45,0
839595,22.2,50,1023
839859,21.0,43,2536
843057,23.0,51,1023
843238,21.0,43,4095
843792,22.6,50,0
845926,23.4,48,0
851088,21.0,43,2387
851599,22.2,50,1023
852368,24.1,45,0
854824,21.0,43,4095
855094,23.0,52,1023
858666,23.4,49,0
862351,21.0,43,2532
863601,22.2,49,1023
865265,22.6,51,0
866046,21.0,43,4095
866846,24.5,45,0
867118,23.4,51,1023
871976,23.5,48,0
873577,21.0,43,2545
875592,22.2,49,1023
875881,22.2,43,4095
877315,21.0,43,4095
879127,23.4,49,1023
879495,24.5,45,0
884815,21.0,43,2506
885908,22.6,51,1023
887121,22.2,42,4095
887562,23.5,48,1023
887596,22.2,49,1023
891170,23.4,49,1023
892154,24.5,45,0
896045,21.0,43,2407
898353,22.2,42,4095
899619,22.2,49,1023
903208,23.1,49,1023
903859,23.7,48,1023
905070,24.5,45,0
907313,21.0,43,2503
909569,22.2,42,4095
911295,22.6,51,1023
911632,22.2,49,1023
915267,23.0,49,1023
917906,24.5,45,0
918746,21.0,43,2530
920853,22.2,42,4095
923636,22.2,49,1023
927295,23.0,49,1023
929995,21.0,43,2519
930687,24.5,45,0
931777,22.6,50,1023
932089,22.2,42,4095
933199,23.8,48,1023
935648,22.2,50,1023
939341,23.0,48,1023
941225,21.0,43,2413
943291,22.2,42,4095
943718,24.5,45,0
945869,23.8,49,1023
947687,22.2,49,1023
951366,23.0,48,1023
952445,21.0,43,2533
952778,22.6,51,1023
956612,24.5,45,0
958665,23.8,48,1023
959686,22.2,49,1023
963381,23.0,48,1023
964006,21.0,43,2537
969326,24.5,45,0
971531,23.8,48,1023
971685,22.2,49,1023
973559,22.6,51,1023
975274,21.0,43,2631
975425,23.0,49,1023
982053,24.5,45,0
983702,22.2,49,1023
984676,23.8,48,1023
986509,21.0,43,2373
987540,23.0,49,1023
994251,22.6,51,1023
994958,24.5,45,0
995711,22.2,49,1023
997767,21.0,43,2482
998659,23.8,48,1023
999538,23.0,48,1023
1007721,22.2,49,1023
1009014,21.0,43,0
1009262,24.5,45,0
1011281,23.8,48,1023
1011550,23.0,48,1023
1016326,22.6,51,1023
1019722,22.2,49,1023
1020259,21.0,43,0
1022344,24.5,45,0
1023546,23.0,48,1023
1025022,23.8,48,1023
1031541,21.0,43,0
1031736,22.2,49,1023
1035011,24.5,45,0
1035559,23.0,48,1023
1037244,22.6,51,1023
1037724,23.8,48,1023
1042758,21.0,43,4095
1043809,22.2,49,1023
1047589,23.0,48,1023
1047900,24.5,45,0
1050467,23.8,48,1023
1054026,21.0,43,0
1056610,22.2,49,1023
1058147,22.8,51,1023
1059618,23.0,48,1023
1060744,24.5,45,0
1064231,23.8,48,1023
1065302,21.0,43,0
1068619,22.2,49,1023
1071639,23.0,48,1023
1073429,24.5,45,0
1076541,21.0,43,3471
1078143,23.8,48,1023
1079919,23.0,51,1023
1080618,22.2,49,1023
1083662,23.0,49,1023
1086289,24.5,45,0
1087779,21.0,43,0
1091159,23.8,48,1023
1092621,22.2,49,1023
1095692,23.0,49,1023
1099043,21.0,43,4095
1099311,24.5,45,0
1102400,23.0,51,1023
1103826,23.8,48,1023
1104622,22.2,49,1023
1107754,23.0,48,1023
1110311,21.0,43,2859
1113712,24.5,45,0
1116457,23.8,48,1023
1116616,22.2,49,1023
1119754,23.0,48,1023
1121533,21.0,43,3485
1126362,23.0,51,1023
1126448,24.5,45,0
1128614,22.2,49,1023
1129102,23.8,48,1023
1131759,23.0,49,1023
1132803,21.0,43,3247
1139225,24.5,45,0
1140632,22.2,49,1023
1141778,23.8,48,1023
1144031,21.0,43,2817
1144085,23.0,49,1023
1147356,23.0,51,1023
1152156,24.5,45,0
1152624,22.2,49,1023
1155242,21.0,43,2467
1156103,23.0,49,1023
1156641,23.8,48,1023
1164628,22.2,49,1023
1165030,24.5,45,0
1167357,21.0,43,2663
1168151,23.0,49,1023
1168993,23.0,51,1023
1169583,23.8,48,1023
1176637,22.2,49,1023
1177959,24.5,45,0
1178588,21.0,43,2559
1180147,23.0,49,1023
1183051,23.8,48,1023
1188619,22.2,49,1023
1189764,23.0,51,1023
1189810,21.0,43,2544
1191941,24.5,45,0
1192166,23.0,49,1023
1195719,23.8,48,1023
1200629,22.2,49,1023
1201135,21.0,43,2544
1204176,23.0,49,1023
1204838,24.5,45,0
1208675,23.8,48,1023
1211525,23.0,52,1023
1212381,21.0,43,2512
1212621,22.2,49,1023
1216192,23.0,49,1023
1218121,24.5,45,0
1222521,23.8,47,1023
1223767,21.0,43,2448
1224630,22.2,49,1023
1228229,23.0,48,1023
1231038,24.5,45,0
1231966,23.0,51,1023
1234996,21.0,43,2429
1235175,23.8,48,1023
1236634,22.2,49,1023
1240270,23.0,48,1023
1244070,24.5,45,0
1246210,21.0,43,2439
1248087,23.8,48,1023
1248640,22.2,49,1023
1252282,23.0,49,1023
1252698,23.0,51,0
1257063,24.5,45,0
1257450,21.0,43,2526
1260638,22.2,49,1023
1260661,23.8,48,1023
1264303,23.0,49,1023
1268668,21.0,43,2497
1270776,24.5,45,0
1272620,22.2,49,1023
1273242,23.8,48,1023
1273777,23.0,51,0
1277053,23.0,48,1023
1279874,21.0,43,2448
1283582,24.5,46,0
1284614,22.2,49,1023
1285977,23.8,48,0
1289146,23.0,49,1023
1291107,21.0,43,2418
1294614,23.0,51,0
1296379,24.5,45,0
1296613,22.2,49,1023
1298842,23.8,48,0
1301193,23.0,49,1023
1302349,21.0,43,2530
1308623,22.2,49,1023
1309304,24.5,45,0
1311706,23.8,48,0
1313201,23.0,48,1023
1313593,21.0,43,2531
1315347,23.0,50,0
1320633,22.2,49,1023
1323779,24.5,46,0
1324653,23.8,48,0
1324817,21.0,43,2429
1325213,23.0,48,1023
1332625,22.2,49,1023
1336064,21.0,43,2587
1336329,23.0,51,0
1336992,24.5,45,0
1337237,23.0,49,1023
1337884,23.8,48,0
1347319,21.0,43,2594
1349258,23.0,49,1023
1349886,24.5,45,0
1350645,23.8,49,1023
1357272,23.0,51,0
1358543,21.0,43,2487
1361258,23.0,49,1023
1363012,24.5,45,0
1363890,23.8,48,0
1369808,21.0,43,2355
1373296,23.0,49,1023
1375748,24.5,45,0
1376321,23.8,48,0
1379416,23.0,51,0
1381043,21.0,43,2467
1385299,23.0,49,1023
1388486,24.5,45,0
1389162,23.8,48,0
1392301,21.0,43,2463
1397299,23.0,49,1023
1400298,23.0,50,0
1401219,24.5,45,0
1401749,23.8,48,0
1403508,21.0,43,2431
1409314,23.0,49,1023
1414311,24.5,45,0
1414595,23.8,48,0
1414736,21.0,43,2475
1421020,23.0,49,0
1421346,23.0,49,1023
1425982,21.0,43,2405
1427044,24.5,45,0
1427301,23.8,48,0
1433359,23.0,49,1023
1437231,21.0,43,2538
1439935,24.5,45,0
1440078,23.8,49,0
1442693,23.0,50,0
1445374,23.0,49,1023
1448473,21.0,43,2510
1452587,24.5,45,0
1453109,23.8,48,0
1457552,23.0,49,1023
1459731,21.0,43,2637
1465866,23.8,48,0
1465942,24.5,45,0
1469574,23.0,49,1023
1470950,21.0,43,2425
1478890,23.8,48,0
1479354,24.5,45,0
1481591,23.0,49,1023
1482199,21.0,43,2368
1491779,23.8,47,0
1492190,24.5,45,0
1493426,21.0,43,2506
1493628,23.0,49,1023
1504647,21.0,43,2463
1505031,23.8,47,0
1505143,24.5,45,0
1505681,23.0,48,1023
1515867,21.0,43,2474
1517668,23.8,47,0
1517689,23.0,48,1023
1518697,24.5,45,0
1527380,21.0,43,2495
1529713,23.0,48,1023
1530594,23.8,47,0
1531640,24.5,45,0
1538612,21.0,43,2474
1541705,23.0,48,1023
1543428,23.8,48,0
1544377,24.5,45,0
1549845,21.0,43,2432
1553716,23.0,49,1023
1556199,23.8,48,0
1557397,24.5,45,0
1561918,21.0,43,2486
1565713,23.0,49,1023
1570156,24.5,45,0
1571689,23.8,48,0
1573135,21.0,43,2416
1577720,23.0,49,1023
1582969,24.5,45,0
1584182,23.8,48,0
1584370,21.0,43,2518
1589833,23.0,49,1023
1595607,21.0,43,2509
1595705,24.5,45,0
1596812,24.1,48,0
1601828,23.0,49,1023
1606850,21.0,43,2396
1608512,24.5,45,0
1609549,24.1,48,0
1613836,23.0,49,1023
1618961,21.0,43,2581
1621218,24.5,45,0
1622056,24.1,48,0
1625849,23.0,48,1023
1630169,21.0,43,2448
1633897,24.5,45,0
1635232,24.1,48,0
1637860,22.9,48,1023
1641392,21.0,43,2497
1647860,24.1,48,0
1648149,24.5,45,0
1649859,22.7,48,1023
1652668,21.0,43,2322
1660635,24.1,49,0
1661018,24.5,45,0
1661886,22.6,48,1023
1663909,21.0,43,2403
1673376,24.1,48,0
1673883,22.6,48,1023
1673976,24.5,45,0
1675378,21.0,43,2549
1685917,22.6,48,1023
1686149,24.1,48,0
1686607,21.0,43,2334
1686897,24.5,45,0
1697834,21.0,43,2416
1697927,22.6,48,1023
1698861,24.1,47,0
1699910,24.5,45,0
1709097,21.0,43,2400
1709943,22.6,48,1023
1711630,24.1,47,0
1713097,24.5,45,0
1720332,21.0,43,2314
1721976,22.6,48,1023
1724225,24.1,48,0
1726233,24.5,45,0
1731617,21.0,43,2441
1733988,22.6,48,1023
1736925,24.1,47,0
1739101,24.5,45,0
1742843,21.0,43,2349
1746033,22.6,48,1023
1749647,24.1,47,0
1752048,24.5,45,0
1754110,21.0,43,2398
1758067,22.6,48,1023
1765378,21.0,43,2416
1765663,24.5,45,0
1766098,24.1,47,0
1770833,22.6,48,1023
1776641,21.0,43,2367
1778729,24.5,45,0
1779240,24.1,47,0
1782839,22.6,49,1023
1787870,21.0,43,2384
1791865,24.5,45,0
1792125,24.1,48,0
1795615,22.6,49,1023
1799096,21.0,43,2514
1805028,24.5,45,0
1805093,24.1,48,0
1807643,22.6,48,1023
1810304,21.0,43,2514
1817588,24.1,48,0
1817925,24.5,45,0
1819663,22.6,48,1023
1821553,21.0,43,2434
1830288,24.1,48,0
1831164,24.5,46,0
1831652,22.7,48,1023
1832973,21.0,43,2538
1843148,24.1,48,0
1843639,23.0,49,1023
1844244,21.0,42,2494
1844418,24.5,46,0
1855508,21.0,42,2559
1855631,23.0,49,1023
1855734,24.1,48,0
1857220,24.5,46,0
1866767,21.0,42,2480
1867636,23.0,49,1023
1868411,24.1,48,0
1872030,24.5,46,0
1878077,21.0,42,3313
1879635,23.0,49,1023
1881212,24.1,47,0
1885034,24.5,46,0
1889334,21.0,42,2967
1891712,23.0,49,1023
1893804,24.1,47,0
1898073,24.5,46,0
1900608,21.0,42,2020
1903731,23.0,49,1023
1907063,24.1,47,0
1911361,24.5,46,0
1911900,21.0,42,1868
1915732,23.0,49,1023
1920347,24.1,47,0
1923130,21.0,42,1481
1924973,24.5,46,0
1927733,23.0,49,1023
1932917,24.1,47,0
1935030,21.0,42,1340
1937981,24.5,46,0
1939716,23.0,48,1023
1946004,24.1,47,0
1946272,21.0,42,1009
1950926,24.5,46,0
1951706,23.0,48,1023
1957502,21.0,42,784
1959067,24.1,47,0
1964118,24.5,46,0
1968763,21.0,42,814
1971597,24.1,47,0
1977590,24.5,46,0
1980041,21.0,42,701
1984388,24.1,47,0
1990845,24.5,46,0
1996973,24.1,47,0
2004345,24.5,46,0
2009626,24.1,47,0
2022734,24.1,47,0
2035536,24.1,47,0
2048108,24.1,47,0
2060964,24.1,48,0
2073498,24.1,48,0
2086735,24.1,48,0
2099434,24.1,47,0
2112397,24.1,47,0
2125136,24.1,47,0
2138061,24.1,47,0
2150619,24.1,47,0
2163417,24.1,47,0
2176463,24.1,47,0
2189038,24.1,47,0
2202079,24.1,47,0
2214560,24.1,47,0
2227257,24.1,47,0
2240409,24.1,47,0
2253251,24.1,48,0
2266443,24.1,48,0
2279334,24.1,47,0
2294048,24.1,47,0
2306863,24.1,47,0
2319519,24.1,47,0
2332538,24.1,47,0
2345780,24.1,47,0
2358646,24.1,47,0
2371476,24.1,47,0
2384355,24.1,47,0
2397436,24.1,47,0
2410014,24.1,47,0
2423646,24.1,47,0
2436624,24.1,47,0
2449347,24.1,47,0
2461927,24.1,47,0
2474677,24.1,47,0
2487608,24.1,47,0
2500893,24.1,47,0
2513440,24.1,47,0
2526673,24.1,47,0
2539576,24.1,47,0
2552438,24.1,47,0
2565095,24.1,47,0
2578027,24.1,47,0
2590898,24.1,47,0
2604030,24.1,47,0
2616670,24.1,47,0
2630369,24.1,47,0
2642831,24.1,47,0
2655598,24.1,47,0
2668572,24.1,47,0
2681241,24.1,47,0
2693869,24.1,47,0
2706641,24.1,48,0
2719340,24.1,48,0
2732285,24.1,48,0
2744929,24.1,48,0
2757844,24.1,47,0
2770390,24.1,47,0
2783104,24.1,47,0
2795824,24.1,47,0
2808875,24.1,48,0
2821656,24.1,48,0
2834821,24.1,48,0
2847837,24.1,48,0
2860768,24.1,48,0
2874368,24.1,49,1023
2887844,24.1,49,0
2900390,24.1,48,0
2913466,24.1,48,0
2926807,24.1,48,0
2939442,24.1,48,0
2952632,24.1,48,0
2965908,24.1,48,0
2979122,24.1,48,0
2992017,24.1,48,0
3005202,24.1,48,0
3017966,24.1,48,0
3030670,24.1,48,0
3043902,24.1,48,0
3056839,24.1,48,0
